store_id,store_address,product_id,sku_id,master_product_id,name,trademark,presentation,price,in_stock,category_name,cold_beer
166964,,2114262372,166964_2114262372,581510,Amstel Cerveza Lager,Amstel,1 X 710.0 mL,2924.35,True,Cervezas,False
166964,,2114083629,166964_2114083629,57613,Cerveza Patagonia Vera Ipa 473 cc,Patagonia,1 X 473 mL,2729.5,True,Cervezas,False
166964,,2114629797,166964_2114629797,620352,Miller Genuine Draft Cerveza,Miller,1 X 330 mL,4317,True,Cervezas,False
166964,,2114263234,166964_2114263234,354442,Miller Cerveza Genuine Draft en Lata,Miller,1 X 710 mL,4971.65,True,Cervezas,False
166964,,1074392820,166964_1074392820,74252,Pampa Cerveza Dorada Lata 473 ml,Pampa,1 X 473.0 mL,2527.2,True,Cervezas,False
166964,,1074392810,166964_1074392810,186129,Pampa Brewing Cerveza Honey Lata 473 ml,Pampa,1 X 473 mL,2676.65,True,Cervezas,False
166964,,2528354,166964_2528354,271499,Cerveza Quilmes 0% 473 cc,Quilmes 0,1 X 473 mL,1658.3,True,Cervezas,False
166964,,2469589,166964_2469589,196655,Imperial Cerveza Extra Lager,Imperial,1 X 473 mL,3539,True,Cervezas,False
166964,,2115096846,166964_2115096846,993849,Estrella Galicia Cerveza sin Gluten Lata 330ml,Estrella Galicia,1 x 330 mL,3619,True,Cervezas,False
166964,,2114549076,166964_2114549076,796267,Cerveza Andes Origen Oro 473 cc,Andes Origen,1 X 473 mL,2639.25,True,Cervezas,False
166964,,1074518352,166964_1074518352,673325,Antares Cerveza Ipa,Antares,1 x 473 mL,4519,True,Cervezas,False
166964,,2533061,166964_2533061,156788,Imperial Apa Cerveza American Pale Ale Rubia,Imperial,1 X 473 mL,3819,True,Cervezas,False
166964,,2114708567,166964_2114708567,837368,Imperial Cerveza Golden,Imperial,1 x 330 cc,3183.2,True,Cervezas,False
166964,,2114084426,166964_2114084426,595866,Stella Artois Cerveza Premium Lager,Stella Artois,1 x 710 mL,4432.35,True,Cervezas,False
166964,,2114631084,166964_2114631084,753489,Blue Moon Cerveza Belgian White,Blue Moon,1 x 355 cc,5889,True,Cervezas,False
166964,,2115034643,166964_2115034643,981051,Michelob Ultra Cerveza,Michelob Ultra,1 x 275 mL,2455.2,True,Cervezas,False
166964,,2114871768,166964_2114871768,916751,Cerveza Guinness Hop House,,473 mL,3263.2,True,Cervezas,False
166964,,2114869743,166964_2114869743,892720,Imperial Cerveza Sin Alcohol Golden,,1 x 473 cc,2419,True,Cervezas,False
166964,,2114629634,166964_2114629634,43537,Miller Cerveza Rubia,Miller,1 X 600 mL,6469,True,Cervezas,False
166964,,2114970867,166964_2114970867,955344,Asahi Cerveza Dry,,1 x 330 cc,4566.75,True,Cervezas,False
